Event Code; Date; Time; Lane / order; Bib No; Name; First Name; Nation; Length; Title 1; Title 2; Sponsor; Record 1; Record 2; Record Code 1; Record Code 2; SCB text length; SCB category; SCB event; SCB heat; RSC code Record 3; Record Code 3; Athlete TV Name
;;;5;354;"Schinke";"Katharina";"GER | TSV SCHOTT Mainz";;;;;;;;;;;;;;;;
;;;6;397;"Ehrle";"Julia";"GER | LG farbtex Nordschwarzwald";;;;;;;;;;;;;;;;
;;;7;336;"Miller";"Lera";"GER | VfL Löningen";;;;;;;;;;;;;;;;
04201001;22.06.2024;17:20;;;;;;1500;"1500m MJU20 - Zeitlauf";;;3:40.28;3:28.81;MR;WR;;;;;;;;
;;;1;207;"Zarb";"Julian";"MLT | Malta";;;;;;;;;;;;;;;;
;;;2;206;"Segond";"Michael Debattista";"MLT | Malta";;;;;;;;;;;;;;;;
;;;3;74;"Freder";"Noel";"GER | VfL Altenstadt";;;;;;;;;;;;;;;;
;;;4;365;"Röhrig";"Valentin";"GER | Dresdner SC 1898 e.V.";;;;;;;;;;;;;;;;
;;;5;402;"Graf";"Yannick";"GER | TSV Gomaringen";;;;;;;;;;;;;;;;
;;;6;364;"Machnow";"Tore";"GER | Dresdner SC 1898 e.V.";;;;;;;;;;;;;;;;
;;;7;368;"Arnold";"Christopher";"GER | LV 90 Erzgebirge";;;;;;;;;;;;;;;;
;;;8;389;"Doerner";"Tammo";"GER | LG Olympia Dortmund";;;;;;;;;;;;;;;;
;;;9;373;"Schubert";"Aaron Niklas";"GER | SC DHfK Leipzig e.V.";;;;;;;;;;;;;;;;
11101001;22.06.2024;17:30;;;;;;100;"100m Men - Zeitlauf";;;10.67;;NR;;;;;;;;;
;;;2;497;"Weihs";"Nick";"GER | VfL Wolfsburg";;;;;;;;;;;;;;;;
;;;3;495;"Streng";"Felix";"GER | Sprintteam Wetzlar";;;;;;;;;;;;;;;;
;;;4;494;"Grolla";"Phil";"GER | VfL Wolfsburg";;;;;;;;;;;;;;;;
;;;5;496;"Winkeler";"Jonas";"GER | VfB Stuttgart 1893";;;;;;;;;;;;;;;;
11201001;22.06.2024;17:30;;;;;;100;"100m Women - Zeitlauf";;;14.82;;NR;;;;;;;;;
;;;3;498;"Foerder";"Isabelle";"GER | HSC Erfurt";;;;;;;;;;;;;;;;
;;;4;499;"Nicoleitzik";"Nicole";"GER | LA Team Saar";;;;;;;;;;;;;;;;
04901001;22.06.2024;17:40;;;;;;400;"4x100m 1. Race MJU20 - Zeitlauf";;;39.66;39.13;MR;NR;;;;;;;;
;;;2;151;"Team Scottland";"";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;3;155;"Great Britain I";"";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;4;374;"Germany I";"";"GER | Germany";;;;;;;;;;;;;;;;
;;;5;128;"France";"";"FRA | France";;;;;;;;;;;;;;;;
;;;6;288;"Switzerland II";"";"SUI | Switzerland";;;;;;;;;;;;;;;;
05001001;22.06.2024;18:00;;;;;;400;"4x100m 1. Race WJU20 - Zeitlauf";;;43.79;43.27;MR;NR;;;;;;;;
;;;1;296;"Switzerland I";"";"SUI | Switzerland";;;;;;;;;;;;;;;;
;;;2;114;"France";"";"FRA | France";;;;;;;;;;;;;;;;
;;;3;68;"Germany II";"";"GER | Germany";;;;;;;;;;;;;;;;
;;;4;357;"Germany I";"";"GER | Germany";;;;;;;;;;;;;;;;
;;;5;131;"Great Britain";"";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;6;86;"Belgium";"";"BEL | Belgium";;;;;;;;;;;;;;;;
